Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 17, 10:00 am",140.254,139,6.7,41.8489,4.6
"Jan 17, 11:00 am",171.232,170,6.1,34.1185,4.1
"Jan 17, 12:00 pm",103.873,111,6.1,31.7903,6.2
"Jan 17, 01:00 pm",99.723,105,5.6,35.9347,4.6
"Jan 17, 02:00 pm",79.6428,86,6.7,44.7849,4.6
"Jan 17, 03:00 pm",54.4535,59,7.8,56.1429,6.2
"Jan 17, 04:00 pm",44.2007,35,7.8,68.7101,7.2
"Jan 17, 05:00 pm",2.86771,4,7.8,75.2314,7.7
"Jan 17, 06:00 pm",0,0,7.8,0,7.7
"Jan 17, 07:00 pm",0,0,5.6,0,5.2
"Jan 17, 08:00 pm",0,0,4.4,0,9.3
"Jan 17, 09:00 pm",0,0,4.4,0,6.2
"Jan 17, 10:00 pm",0,0,4.4,0,5.2
"Jan 17, 11:00 pm",0,0,3.9,0,7.2
"Jan 18, 12:00 am",0,0,3.3,0,6.7
"Jan 18, 01:00 am",0,0,3.3,0,6.2
"Jan 18, 02:00 am",0,0,2.8,0,6.7
"Jan 18, 03:00 am",0,0,2.8,0,5.2
"Jan 18, 04:00 am",0,0,2.8,0,8.2
"Jan 18, 05:00 am",0,0,2.8,0,7.7
"Jan 18, 06:00 am",0,0,2.8,0,6.7
"Jan 18, 07:00 am",0.924024,1,2.8,72.632,7.7
"Jan 18, 08:00 am",36.6814,33,2.2,64.9293,8.8
"Jan 18, 09:00 am",142.507,128,2.2,52.5978,7.2
"Jan 18, 10:00 am",150.926,146,2.8,41.7582,7.2
"Jan 18, 11:00 am",170.092,169,2.2,33.966,7.2
"Jan 18, 12:00 pm",219.555,211,2.2,31.5872,7.2
"Jan 18, 01:00 pm",118.446,124,2.2,35.7245,7.7
